file,r,g,b
1096,34,27,41
751,35,26,47
623,91,81,80
1158,24,16,51
74,130,171,151
509,40,44,79
473,133,130,144
195,60,52,128
467,74,67,75
206,43,45,70
1147,89,68,62
400,77,56,119
253,46,42,84
277,45,44,39
749,204,201,202
796,20,19,20
980,136,127,115
1125,197,202,219
849,12,36,75
1022,115,98,122
1105,114,87,125
9,52,38,48
513,156,160,176
1108,43,40,36
902,115,109,158
657,27,28,36
1229,63,61,63
212,42,34,49
720,61,58,57
347,101,100,102
1206,43,59,68
216,56,63,65
1216,56,43,44
211,79,61,107
983,45,36,53
989,110,100,137
620,79,64,112
252,109,107,139
1264,125,124,129
1181,165,146,132
1183,154,152,156
75,153,156,146
273,103,100,97
368,110,79,79
860,58,51,44
847,94,39,170
839,145,137,137
746,131,107,117
1002,93,79,126
17,118,118,124
866,70,62,56
519,140,124,130
939,122,123,123
435,42,41,34
234,57,39,104
536,60,81,129
83,123,125,122
1190,68,61,51
925,87,82,111
689,84,86,106
843,73,51,96
397,73,71,73
334,41,14,43
395,23,22,34
929,160,157,150
1044,79,48,123
760,57,65,64
516,29,31,70
499,85,89,97
992,126,120,120
1257,164,164,174
772,133,126,125
679,94,84,80
616,81,76,76
590,44,37,106
462,95,65,112
528,151,149,155
401,74,57,64
502,11,24,98
120,76,75,80
482,68,61,75
463,124,121,119
358,25,24,44
1012,6,12,131
545,79,69,89
734,17,26,42
871,168,163,170
651,55,44,77
343,128,133,146
357,5,12,180
406,53,34,48
28,20,17,26
525,153,150,156
304,34,62,77
464,66,91,99
798,31,29,31
914,47,46,50
915,75,76,99
948,36,30,66
873,130,108,72
565,135,129,126
1043,66,58,79
1187,43,38,65
1195,169,161,157
682,100,82,70
736,99,91,88
687,45,40,38
526,151,127,125
223,127,143,157
555,41,45,58
1188,71,78,83
1078,33,28,66
599,41,35,54
750,60,40,98
1146,45,32,90
260,16,39,58
834,44,50,54
717,169,159,187
1118,110,121,172
908,182,138,125
264,109,124,128
27,36,43,52
977,16,35,78
829,105,95,99
422,171,175,173
65,133,108,96
1053,28,46,54
979,61,56,53
667,110,108,102
68,38,52,66
1208,128,123,115
703,135,68,78
1227,42,39,62
1019,150,140,135
104,49,32,131
719,52,38,86
1196,78,80,82
814,37,34,101
1016,59,51,51
735,31,23,49
793,47,48,48
804,33,29,27
1184,91,81,116
905,133,132,136
471,28,19,63
1157,46,48,52
1270,56,67,113
800,52,44,129
49,71,60,85
1152,63,61,63
1060,62,50,94
106,41,50,57
130,35,27,24
26,163,136,144
594,43,38,38
168,23,78,133
156,106,104,106
1191,128,126,128
725,37,75,140
1003,127,114,103
220,101,84,73
845,43,43,44
600,153,139,148
799,66,55,49
494,68,60,91
964,80,88,97
792,5,37,167
858,52,83,216
1271,83,80,82
227,56,73,95
919,91,83,89
967,147,146,148
1009,46,10,88
1025,208,195,188
909,50,53,60
911,78,75,76
957,150,142,132
895,8,65,140
801,82,66,70
1223,139,115,100
1116,35,33,27
204,88,42,48
203,109,131,148
239,119,103,109
102,39,42,50
1262,135,128,145
500,5,36,124
572,127,77,165
1077,55,59,95
1201,106,124,139
11,51,40,77
113,62,86,111
69,104,94,89
1046,95,89,82
645,136,141,156
664,48,36,37
846,75,45,70
237,42,40,37
1198,35,32,77
882,66,33,89
40,123,121,117
1166,71,58,61
161,112,114,123
1237,112,83,157
152,87,85,98
1133,105,102,116
602,50,32,79
1017,206,206,209
1107,141,134,124
1242,130,103,103
294,17,20,56
1167,47,42,37
1236,166,154,160
987,50,37,55
80,150,161,179
235,70,59,74
923,62,65,61
1013,55,47,64
825,28,46,48
308,52,18,146
1162,58,69,112
132,29,23,61
167,53,41,92
585,80,79,96
758,62,45,48
1004,80,13,83
1138,70,56,103
966,118,97,138
640,145,132,123
637,96,145,161
174,97,94,101
660,48,33,64
129,66,87,98
823,113,82,67
836,111,106,122
898,57,49,115
354,104,99,111
1134,34,25,56
763,68,63,90
87,118,119,119
1144,95,90,88
802,121,98,84
276,132,126,119
178,56,60,73
1120,105,98,91
84,52,49,43
753,45,28,78
